Day #,Wall Street Crash,73-74 Market Crash,Black Monday,Dot Com Bubble,Financial Crisis,Corona Virus
Day -12,29.620001,115.949997,322.089996,1484.430054,1519.780029,3321.75
Day -11,29.67,115.110001,323,1479.849976,1529.030029,3325.54
Day -10,30.219999,115.830002,328,1496.069946,1518.75,3295.47
Day -9,30.5,116.300003,333.329987,1491.719971,1525.75,3243.63
Day -8,30.68,116.93,332.390015,1499.47998,1517.72998,3276.24
Day -7,30.549999,118.050003,334.649994,1498.130005,1517.209961,3273.4
Day -6,30.790001,119.099998,333.98999,1505.969971,1525.420044,3283.66
Day -5,31.09,119.57,334.109985,1508.310059,1531.380005,3225.52
Day -4,31.07,119.400002,329.25,1506.449951,1526.75,3248.92
Day -3,31.049999,119.870003,329.829987,1514.089966,1547.040039,3297.59
Day -2,30.99,119.849998,334.839996,1509.839966,1546.630005,3334.69
Day -1,31.290001,119.730003,335.899994,1502.589966,1539.589966,3345.78
Day 0,31.709999,119.43,333.329987,1517.680054,1542.839966,3327.71
Day 1,31.82,120.239998,336.769989,1520.77002,1557.589966,3352.09
Day 2,31.719999,119.300003,334.570007,1507.079956,1552.579956,3357.75
Day 3,31.02,118.440002,331.380005,1492.25,1565.150024,3379.45
Day 4,31.83,118.139999,327.040009,1502.51001,1562.469971,3373.94
Day 5,31.67,118.68,329.799988,1494.5,1554.410034,3380.16
Day 6,31.1,118.849998,323.399994,1489.26001,1561.800049,3370.29
Day 7,31.530001,118.779999,321.679993,1481.98999,1548.709961,3386.15
Day 8,31.17,118.209999,320.209991,1484.910034,1538.530029,3373.23
Day 9,31.379999,118.220001,316.700012,1480.869995,1541.23999,3337.75
Day 10,31.860001,116.730003,313.559998,1465.810059,1540.079956,3225.89
Day 11,31.6,116.449997,313.920013,1444.51001,1500.630005,3128.21
Day 12,31.68,116.010002,317.130005,1459.900024,1506.329956,3116.39
Day 13,31.73,115.830002,321.980011,1451.339966,1519.589966,2978.76
Day 14,31.389999,116.029999,323.079987,1449.050049,1515.880005,2954.22
Day 15,31.379999,114.760002,317.73999,1448.719971,1514.400024,3090.23
Day 16,30.799999,114.349998,314.859985,1439.030029,1535.280029,3003.37
Day 17,30.85,114.230003,314.929993,1427.209961,1540.97998,3130.12
Day 18,31.129999,114.449997,314.859985,1426.569946,1531.02002,3023.94
Day 19,30.27,113.660004,310.540009,1458.290039,1549.380005,2972.37
Day 20,30.16,113.160004,319.5,1436.51001,1508.439941,2746.56
Day 21,29.98,114.68,321.190002,1436.22998,1509.650024,2882.23
Day 22,30.200001,116.059998,319.720001,1426.459961,1502.170044,2741.38
Day 23,28.950001,116.779999,320.160004,1434.319946,1520.27002,2480.64
Day 24,28.65,115.099998,323.200012,1436.280029,1475.619995,2711.02
Day 25,30.440001,114.449997,321.690002,1408.98999,1474.77002,2386.13
Day 26,30.34,114.980003,321.829987,1402.030029,1453.699951,2529.19
Day 27,30.27,115.400002,327.329987,1387.02002,1439.180054,2398.1
Day 28,30.809999,114.690002,328.070007,1364.589966,1481.050049,2409.39
Day 29,30.76,114.440002,328.079987,1329.780029,1470.579956,2304.92
Day 30,30.549999,113.160004,319.220001,1374.170044,1451.150024,2237.4
Day 31,30.299999,112.190002,318.540009,1374.619995,1458.73999,2447.33
Day 32,29.24,110.900002,314.160004,1349.969971,1433.27002,2475.56
Day 33,29.690001,111.68,311.070007,1342.130005,1439.699951,2630.07
Day 34,28.84,111.050003,309.390015,1388.76001,1416.77002,2541.47
Day 35,27.73,112.279999,314.519989,1396.930054,1440.699951,2626.65
Day 36,28.27,112.68,305.230011,1395.780029,1407.219971,2584.59
Day 37,26.6,114.099998,298.079987,1398.130005,1428.22998,
Day 38,25.75,114.449997,282.700012,1364.900024,1469.02002,
Day 39,26.120001,114.230003,224.839996,1364.439941,1469.719971,
Day 40,22.74,113.790001,236.830002,1379.579956,1481.140015,
Day 41,20.43,113.860001,258.380005,1398.660034,1472.420044,
Day 42,22.99,114.480003,248.25,1429.400024,1462.790039,
Day 43,24.15,114.980003,248.220001,1421.219971,1485.01001,
Day 44,22.879999,114.120003,227.669998,1428.319946,1507.339966,
Day 45,20.610001,113.540001,233.190002,1426.689941,1504.660034,
Day 46,21.370001,112.169998,233.279999,1432.189941,1515.959961,
Day 47,21.18,111.949997,244.770004,1431.869995,1477.650024,
Day 48,19.860001,110.489998,251.789993,1409.280029,1486.589966,
Day 49,18.73,108.839996,255.75,1400.140015,1488.410034,
Day 50,17.66,108.879997,250.820007,1365.97998,1467.949951,
Day 51,19.24,109.839996,248.960007,1351.26001,1445.900024,
Day 52,20.299999,111.559998,254.479996,1382.949951,1454.97998,
Day 53,20.09,111.620003,250.410004,1389.810059,1453,
Day 54,20.700001,112.709999,243.169998,1372.319946,1460.119995,
Day 55,21.27,111.519997,239,1367.719971,1484.459961,
Day 56,21.610001,110.18,241.899994,1342.619995,1496.449951,
Day 57,21.530001,109.239998,248.520004,1347.349976,1497.660034,
Day 58,21.280001,108.769997,245.639999,1322.359985,1476.27002,
Day 59,20.66,108.519997,246.759995,1341.77002,1478.48999,
Day 60,20.92,109.279999,243.039993,1348.969971,1468.359985,
Day 61,20.950001,110.860001,245.550003,1336.089966,1447.160034,
Day 62,21.65,112.209999,240.050003,1341.930054,1447.160034,
Day 63,22.049999,112.68,242,1314.949951,1411.630005,
Day 64,21.870001,112.580002,242.990005,1315.22998,1416.180054,
Day 65,22.450001,112.080002,246.389999,1324.969971,1390.189941,
Day 66,22.4,111.440002,244.100006,1376.540039,1409.130005,
Day 67,22.57,110.940002,240.339996,1351.459961,1420.329956,
Day 68,22.379999,111.540001,230.300003,1343.550049,1401.02002,
Day 69,21.17,112.169998,232,1369.890015,1416.25,
Day 70,21.700001,111.57,233.449997,1380.199951,1380.949951,
Day 71,21.33,109.989998,225.210007,1371.180054,1373.199951,
Day 72,21.559999,108.339996,223.919998,1359.98999,1333.25,
Day 73,21.42,108.889999,228.759995,1340.930054,1325.189941,
Day 74,20.85,107.230003,234.910004,1312.150024,1310.5,
Day 75,20.16,106.970001,238.889999,1322.73999,1338.599976,
Day 76,20.26,107.099998,233.570007,1305.599976,1352.069946,
Day 77,20.389999,108.43,235.320007,1264.73999,1330.609985,
Day 78,20.84,110.220001,242.190002,1274.859985,1353.959961,
Day 79,20.82,111,242.809998,1305.949951,1362.300049,
Day 80,20.889999,110.529999,248.080002,1315.189941,1355.810059,
Day 81,21.450001,111.25,242.979996,1328.920044,1378.550049,
Day 82,21.18,110.440002,249.160004,1334.219971,1395.420044,
Day 83,21.23,109.540001,249.539993,1320.280029,1380.819946,
Day 84,21.5,108.169998,249.949997,1283.27002,1336.640015,
Day 85,21.309999,105.900002,253.160004,1347.560059,1326.449951,
Day 86,21.290001,106.57,252.029999,1333.339966,1336.910034,
Day 87,21.620001,106.43,245.570007,1298.349976,1331.290039,
Day 88,21.549999,105.559998,244.589996,1295.859985,1339.130005,
Day 89,21.52,103.860001,247.860001,1300.800049,1348.859985,
Day 90,21.559999,102.730003,247.080002,1313.27002,1367.209961,
Day 91,21.65,103.580002,255.940002,1326.819946,1348.859985,
Day 92,21.5,104.07,258.630005,1318.550049,1349.98999,
Day 93,21.309999,107.139999,258.890015,1326.650024,1348.780029,
Day 94,21.5,107.940002,261.070007,1329.469971,1360.030029,
Day 95,21.610001,107.510002,243.399994,1347.969971,1342.530029,
Day 96,21.629999,105.910004,247.490005,1342.540039,1353.109985,
Day 97,21.84,104.949997,245.419998,1342.900024,1371.800049,
Day 98,22.040001,103.93,245.809998,1360.400024,1381.290039,
Day 99,22.209999,102.970001,245.880005,1364.300049,1380.02002,
Day 100,22.1,104.620003,252.050003,1357.51001,1367.680054,
Day 101,22.35,104.309998,251.880005,1354.949951,1330.630005,
Day 102,22.469999,105.839996,249.320007,1364.170044,1331.339966,
Day 103,22.790001,107.029999,242.630005,1373.72998,1326.75,
Day 104,22.74,106.699997,243.139999,1366.01001,1333.699951,
Day 105,23.01,108.290001,246.5,1373.469971,1304.339966,
Day 106,23.309999,107.599998,252.169998,1349.469971,1293.369995,
Day 107,23.059999,106.400002,249.570007,1354.310059,1273.369995,
Day 108,22.969999,105.099998,249.380005,1352.26001,1320.650024,
Day 109,23.120001,103.599998,253.289993,1340.890015,1308.77002,
Day 110,23.32,103.989998,257.070007,1332.530029,1315.47998,
Day 111,23.360001,104.440002,255.039993,1314.76001,1288.140015,
Day 112,23.35,103.209999,255.570007,1330.310059,1276.599976,
Day 113,23.26,103.699997,252.210007,1318.800049,1330.73999,
Day 114,23.280001,102.25,252.210007,1315.920044,1298.420044,
Day 115,23.07,103.300003,250.960007,1326.609985,1329.51001,
Day 116,22.639999,103.620003,249.100006,1301.530029,1349.880005,
Day 117,22.92,104.690002,251.720001,1278.939941,1352.98999,
Day 118,22.68,104.260002,256.660004,1255.27002,1341.130005,
Day 119,22.889999,102.900002,255.949997,1252.819946,1325.76001,
Day 120,23.110001,101.870003,257.630005,1245.859985,1315.219971,
Day 121,23.08,101.779999,259.829987,1267.650024,1322.699951,
Day 122,23.280001,101.279999,259.209991,1257.939941,1370.180054,
Day 123,23.360001,102.139999,257.910004,1239.939941,1367.530029,
Day 124,23.540001,103.519997,261.609985,1241.22998,1369.310059,
Day 125,23.360001,105.800003,265.640015,1234.180054,1370.400024,
Day 126,23.59,105.5,265.019989,1241.410034,1372.540039,
Day 127,23.59,104.089996,264.429993,1253.800049,1365.540039,
Day 128,23.67,105.669998,261.579987,1261.890015,1354.48999,
Day 129,23.719999,105.720001,262.459991,1264.73999,1360.550049,
Day 130,23.459999,106.349998,267.820007,1233.420044,1332.829956,
Day 131,23.6,106.550003,267.220001,1180.160034,1328.319946,
Day 132,23.450001,107.139999,267.980011,1197.660034,1334.430054,
Day 133,23.67,107.519997,267.880005,1166.709961,1364.709961,
Day 134,23.9,108.139999,267.299988,1173.560059,1365.560059,
Day 135,24.030001,109.639999,267.380005,1150.530029,1390.329956,
Day 136,24.139999,109.849998,269.429993,1170.810059,1388.170044,
Day 137,24.290001,109.589996,269.059998,1142.619995,1375.939941,
Day 138,24.280001,109.25,263.839996,1122.140015,1379.930054,
Day 139,24.25,108.220001,264.940002,1117.579956,1388.819946,
Day 140,24.620001,106.830002,266.369995,1139.829956,1397.839966,
Day 141,24.57,106.669998,266.130005,1152.689941,1396.369995,
Day 142,24.85,106.489998,268.649994,1182.170044,1390.939941,
Day 143,24.15,106.730003,271.220001,1153.290039,1385.589966,
Day 144,25.370001,106.550003,271.119995,1147.949951,1409.339966,
Day 145,25.110001,105.550003,268.73999,1160.329956,1413.900024,
Day 146,25.16,105.610001,268.839996,1145.869995,1407.48999,
Day 147,25.540001,104.769997,268.910004,1106.459961,1418.26001,
Day 148,25.6,103.709999,263.350006,1103.25,1392.569946,
Day 149,25.459999,102.709999,258.51001,1151.439941,1397.680054,
Day 150,25.870001,103.010002,258.059998,1128.430054,1388.280029,
Day 151,25.92,102.290001,260.070007,1137.589966,1403.579956,
Day 152,25.84,102.309998,258.070007,1168.380005,1403.040039,
Day 153,25.73,101.610001,258.890015,1165.890015,1408.660034,
Day 154,25.74,100.889999,256.089996,1183.5,1423.569946,
Day 155,25.559999,100.529999,258.51001,1179.680054,1425.349976,
Day 156,25.75,101.910004,265.48999,1191.810059,1426.630005,
Day 157,25.290001,101.620003,266.160004,1238.160034,1413.400024,
Day 158,25.5,102.419998,269.429993,1253.689941,1390.709961,
Day 159,25.549999,103.019997,270.160004,1242.97998,1394.349976,
Day 160,25.35,104.029999,271.369995,1224.359985,1375.930054,
Day 161,25.32,103.879997,271.579987,1209.469971,1385.349976,
Day 162,24.76,104.25,259.75,1228.75,1390.839966,
Day 163,24.73,104.510002,259.769989,1234.52002,1398.26001,
Day 164,24.9,104.639999,259.209991,1253.050049,1400.380005,
Day 165,24.299999,105.150002,257.920013,1249.459961,1385.670044,
Day 166,23.57,104.760002,256.130005,1266.439941,1377.650024,
Day 167,22.98,103.849998,256.420013,1267.430054,1377.199951,
Day 168,23.76,103.220001,260.140015,1248.579956,1404.050049,
Day 169,23.309999,103.059998,262.51001,1266.609985,1360.680054,
Day 170,23.4,103.360001,263.929993,1263.51001,1361.76001,
Day 171,23.690001,104.440002,263.799988,1261.199951,1358.439941,
Day 172,24.09,104.150002,262.609985,1255.540039,1335.48999,
Day 173,24.42,103.769997,261.329987,1255.180054,1339.869995,
Day 174,24.57,105.879997,261.559998,1245.670044,1360.030029,
Day 175,24.17,106.760002,263,1248.920044,1360.140015,
Day 176,24.280001,107.199997,260.320007,1249.439941,1350.930054,
Day 177,23.75,107.360001,258.790009,1284.98999,1337.810059,
Day 178,23.860001,108.050003,257.480011,1288.48999,1342.829956,
Day 179,23.74,108.830002,256.540009,1291.959961,1317.930054,
Day 180,23.790001,109.080002,257.619995,1312.829956,1318,
Day 181,24.030001,108.43,253.309998,1309.380005,1314.290039,
Day 182,24.23,108.209999,253.850006,1289.050049,1321.969971,
Day 183,24.24,108.790001,256.779999,1293.170044,1283.150024,
Day 184,24.379999,108.779999,258.709991,1277.890015,1278.380005,
Day 185,24.49,108.410004,255.389999,1267.930054,1280,
Day 186,24.4,109.849998,251.350006,1248.079956,1284.910034,
Day 187,24.18,110.230003,252.570007,1255.819946,1261.52002,
Day 188,24.290001,110.129997,253.020004,1260.670044,1262.900024,
Day 189,23.91,109.220001,250.830002,1267.109985,1252.310059,
Day 190,23.52,111.089996,253.509995,1283.569946,1273.699951,
Day 191,22.379999,111.440002,253.759995,1270.030029,1244.689941,
Day 192,23.01,110.050003,254.630005,1276.959961,1253.390015,
Day 193,22.200001,110.190002,253.419998,1264.959961,1239.48999,
Day 194,22.129999,109.970001,262.160004,1254.390015,1228.300049,
Day 195,22.26,110.010002,266.690002,1255.849976,1214.910034,
Day 196,20.559999,110.220001,265.329987,1241.599976,1245.359985,
Day 197,20.58,109.160004,266.450012,1219.869995,1260.319946,
Day 198,19.860001,109.75,267.049988,1214.359985,1260.680054,
Day 199,20.790001,110.269997,265.170013,1208.430054,1260,
Day 200,20.25,110.5,271.519989,1212.579956,1277,
Day 201,20.09,111.379997,270.200012,1223.140015,1282.189941,
Day 202,19.389999,111.150002,271.26001,1237.040039,1252.540039,
Day 203,19.540001,109.330002,271.429993,1225.349976,1257.76001,
Day 204,20,108.290001,274.299988,1218.599976,1234.369995,
Day 205,19.809999,107.690002,274.450012,1216.76001,1263.199951,
Day 206,20.459999,107.07,269.769989,1211.069946,1284.26001,
Day 207,20.24,105.519997,270.679993,1226.199951,1267.380005,
Day 208,20.459999,104.959999,268.940002,1224.380005,1260.310059,
Day 209,20.25,105.800003,271.670013,1236.719971,1249.01001,
Day 210,19.83,107.019997,275.660004,1234.449951,1284.880005,
Day 211,19.969999,105.300003,274.820007,1219.23999,1289.189941,
Day 212,20.26,104.440002,273.779999,1190.589966,1266.069946,
Day 213,20.77,104.360001,269.059998,1198.780029,1296.319946,
Day 214,20.549999,102.449997,272.309998,1181.52002,1305.319946,
Day 215,21.360001,102.43,270.980011,1180.180054,1289.589966,
Day 216,21.32,103.879997,273.5,1208.140015,1285.829956,
Day 217,21.48,100.709999,271.779999,1215.680054,1292.930054,
Day 218,21.58,98.660004,275.809998,1202.449951,1298.199951,
Day 219,21.77,99.760002,272.019989,1214.439941,1278.599976,
Day 220,20.940001,99.440002,271.779999,1207.709961,1266.689941,
Day 221,21.32,96.580002,270.019989,1215.02002,1274.540039,
Day 222,21.66,95.699997,270.549988,1210.849976,1277.719971,
Day 223,21.379999,97.650002,267.850006,1191.030029,1292.199951,
Day 224,21.5,97.309998,269.320007,1171.650024,1266.839966,
Day 225,21.82,95.959999,270.26001,1190.48999,1271.51001,
Day 226,21.65,93.900002,272.049988,1202.930054,1281.660034,
Day 227,21.08,93.589996,270.51001,1205.819946,1300.680054,
Day 228,21.209999,92.160004,268.470001,1204.52002,1282.829956,
Day 229,21.110001,94.419998,270,1211.22998,1277.579956,
Day 230,21.52,96.510002,266.660004,1215.930054,1274.97998,
Day 231,21.52,97.949997,263.5,1220.75,1236.829956,
Day 232,21.18,96.040001,264.679993,1214.349976,1242.310059,
Day 233,21.059999,93.57,265.190002,1200.47998,1267.790039,
Day 234,20.27,92.379997,262.5,1204.400024,1224.51001,
Day 235,20.4,93.290001,266.019989,1183.530029,1232.040039,
Day 236,19.879999,92.75,272.019989,1183.430054,1249.050049,
Day 237,20.15,94.739998,272.209991,1190.160034,1251.699951,
Day 238,20.16,94.82,272.059998,1191.290039,1192.699951,
Day 239,20.700001,94.550003,272.980011,1186.72998,1213.599976,
Day 240,20.540001,93.540001,271.929993,1178.02002,1156.390015,
Day 241,20.74,92.900002,271.149994,1181.660034,1206.51001,
Day 242,20.85,95.739998,269.980011,1161.969971,1255.079956,
Day 243,20.639999,97.739998,266.48999,1171.410034,1207.089966,
Day 244,20.790001,97.540001,261.899994,1157.26001,1188.219971,
Day 245,20.68,97.550003,262.75,1165.310059,1185.869995,
Day 246,20.98,97.68,262.549988,1162.089966,1209.180054,
Day 247,21.139999,99.800003,258.690002,1184.930054,1213.27002,
Day 248,21.129999,98.900002,260.559998,1179.209961,1106.420044,
Day 249,21.370001,98.07,260.769989,1161.51001,1166.359985,
Day 250,21.379999,96.120003,261.029999,1148.560059,1161.060059,
Day 251,21.17,93.419998,260.23999,1129.030029,1114.280029,
Day 252,21.02,92.389999,256.980011,1133.579956,1099.22998,
Day 253,21.34,93.660004,257.089996,1132.939941,1056.890015,
Day 254,21.629999,93.419998,261.130005,1131.73999,996.22998,
Day 255,21.76,94.230003,259.179993,1106.400024,984.940002,
Day 256,21.860001,95.669998,259.679993,1085.780029,909.919983,
Day 257,21.719999,97.300003,262.329987,1092.540039,899.219971,
Day 258,21.5,95.559998,262.51001,1038.77002,1003.349976,
Day 259,21.190001,95.400002,261.519989,1032.73999,998.01001,
Day 260,21.219999,96.550003,258.350006,1016.099976,907.840027,
Day 261,21.290001,97.07,264.480011,984.539978,946.429993,
Day 262,21.059999,96.82,265.589996,965.799988,940.549988,
Day 263,20.68,96.629997,265.869995,1003.450012,985.400024,
Day 264,20.17,96.089996,265.880005,1012.27002,955.049988,
Day 265,20.440001,96.010002,266.839996,1007.039978,896.780029,
Day 266,20.110001,97.059998,266.470001,1018.609985,908.109985,
Day 267,19.73,96.57,267.429993,1040.939941,876.77002,
Day 268,19.43,95.32,269.309998,1038.550049,848.919983,
Day 269,18.879999,93.290001,268.130005,1051.329956,940.51001,
Day 270,18.59,93,270.649994,1072.280029,930.090027,
Day 271,19.42,93.260002,268.820007,1069.630005,954.090027,
Day 272,19.18,93.300003,269.730011,1071.380005,968.75,
Day 273,19.42,92.330002,270.160004,1062.439941,966.299988,
Day 274,18.610001,90.660004,269.179993,1056.75,1005.75,
Day 275,18.620001,90.940002,269.76001,1080.98999,952.77002,
Day 276,18.4,90.980003,268.880005,1097.430054,904.880005,
Day 277,17.67,90.949997,268.26001,1091.650024,930.98999,
Day 278,18.110001,92.269997,269.079987,1089.97998,919.210022,
Day 279,17.91,92.120003,272.589996,1097.540039,898.950012,
Day 280,18.200001,93.440002,271.910004,1077.089966,852.299988,
Day 281,17.879999,94.709999,271.380005,1068.609985,911.289978,
Day 282,17.16,95.389999,270.619995,1073.47998,873.289978,
Day 283,17.57,95.029999,271.859985,1089.900024,850.75,
Day 284,17.049999,96,272.390015,1084.780029,859.119995,
Day 285,16.9,96.400002,278.070007,1085.199951,806.580017,
Day 286,17.139999,96.220001,278.23999,1100.089966,752.440002,
Day 287,17.74,95.529999,277.929993,1104.609985,800.030029,
Day 288,17.780001,95.529999,273.980011,1078.300049,851.809998,
Day 289,17.860001,97.32,275.220001,1059.790039,857.390015,
Day 290,17.549999,97.980003,275.5,1059.780029,887.679993,
Day 291,17.34,96.940002,276.410004,1084.099976,896.23999,
Day 292,16.940001,97.779999,279.380005,1087.199951,816.210022,
Day 293,17.129999,98.879997,276.970001,1102.839966,848.809998,
Day 294,16.620001,99.150002,282.880005,1118.859985,870.73999,
Day 295,16.65,99.739998,283.660004,1115.800049,845.219971,
Day 296,16.09,99.650002,282.279999,1118.540039,876.070007,
Day 297,15.54,99.279999,282.380005,1120.310059,909.700012,
Day 298,15.79,98.050003,281.380005,1118.329956,888.669983,
Day 299,16.139999,97.230003,277.279999,1139.089966,899.23999,
Day 300,16.559999,97.57,278.529999,1141.209961,873.590027,
Day 301,16.889999,97.339996,278.970001,1142.23999,879.72998,
Day 302,16.48,97.269997,279.059998,1138.650024,868.570007,
Day 303,16.66,97.639999,279.059998,1151.060059,913.179993,
Day 304,17.01,97.949997,279.200012,1142.660034,904.419983,
Day 305,16.940001,96.589996,276.309998,1137.030029,885.280029,
Day 306,17.200001,94.82,273.929993,1150.339966,887.880005,
Day 307,17.049999,93.980003,275.149994,1157.420044,871.630005,
Day 308,16.85,93.25,273.329987,1149.5,863.159973,
Day 309,16.610001,93.349998,273.690002,1128.52002,868.150024,
Day 310,16.379999,94.330002,267.920013,1140.199951,872.799988,
Day 311,16.799999,94.330002,267.720001,1139.449951,869.419983,
Day 312,16.959999,93.010002,268.339996,1129.900024,890.640015,
Day 313,16.67,92.029999,263.820007,1144.800049,903.25,
Day 314,16.42,92.610001,264.600006,1170.349976,931.799988,
Day 315,16.43,92.400002,266.470001,1167.099976,927.450012,
